Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
291,SLBSL,27.66,"1,300.00","1,300.00","1,282.00","1,300.00","1,300.00",0,0,"1,292.32","1,860.00","1,282.30","2,403,708.20",40,17.7,18,1.38,1.4,0.59,"3,047.00","1,234.50",
292,SLCF,22.09,9.10,9.24,9.10,9.13,9.13,0,0.00,9.19,"4,000.00",9.06,"36,777.00",10,0.07,0.14,0.77,1.54,-0.70,11.99,8.60,
293,SMATA,29.50,770.10,787.00,770.10,780.10,780.1,0,0.00,777.45,"10,048.00",775.00,"7,811,774.70",143,5.1,16.9,0.66,2.19,0.34,"1,382.00",734.10,
294,SMB,33.93,"1,750.10","1,799.00","1,750.00","1,799.00","1,799.00",0,0,"1,778.00","2,320.00","1,750.00","4,124,962.90",51,49,49,2.8,2.8,1.17,"3,309.90","1,710.10",
295,SMFBS,28.1,"1,640.00","1,670.00","1,639.00","1,640.00","1,640.00",0,0,"1,642.15","1,589.00","1,640.00","2,609,380.20",19,0,31,0,1.89,-0.13,"2,215.00","1,490.00",
296,SMH,36.61,691.1,714,691.1,708,708,0,0,703.93,"2,485.00",703.00,"1,749,269.40",54,5,22.9,0.71,3.31,0.57,"1,178.00",690,
297,SMHL,41.64,541.9,586,541.9,563.9,563.9,0,0,559.11,"86,244.00",552.90,"48,219,684.90",379,11,44.1,1.99,8.14,0.85,"1,657.00",537.90,
298,SMJC,38.48,481,496,479,495,495,0,0,490.88,"16,338.00",488.00,"8,020,053.60",157,7,17,1.43,3.55,0.83,735,479,
299,SMPDA,37.3,865,879.8,865,876,876,0,0,870.45,"6,680.00",869.00,"5,814,618.50",98,7,14.8,0.81,1.71,0.63,"1,155.00",840,
300,SNLI,31.22,464,467.9,462,462.6,462.6,0,0,463.67,"48,089.00",465.10,"22,297,649.60",461,-2.5,5.9,-0.54,1.28,-0.23,744.5,411.6,
301,SONA,48.7,420.1,446,420.1,437.6,437.6,0,0,439.18,"124,068.00",421.00,"54,488,322.80",907,16.6,25.9,3.94,6.17,-0.36,545,398,
302,SPC,42.22,527,570,522.6,554.9,554.9,0,0,545.18,"104,779.00",524.10,"57,123,521.70",534,30.8,47.4,5.88,9.07,1.75,722,441,
303,SPDL,33.88,383,392.6,382,388.3,388.3,0,0,387.50,"64,846.00",383.90,"25,128,068.10",255,4.4,10.6,1.15,2.77,0.21,465,308.9,
304,SPHL,30.82,567,569,547.5,565,565,0,0,561.81,"25,154.00",558.00,"14,131,760.20",162,7,21.5,1.25,3.93,0.56,922,477.10,
305,SPIL,26.33,716,719.1,702,717,717,0,0,712.10,"15,547.00",729.00,"11,071,077.10",108,-12,17.1,-1.65,2.44,0.68,980.4,625,
306,SPL,31.15,798.4,822.9,798.3,819,819,0,0,808.90,"1,369.00",812.00,"1,107,381.00",36,7,24.6,0.86,3.08,1.23,"1,102.20",765,
307,SRLI,33.29,390.00,391.60,387.20,390.90,390.9,0,0.00,389.85,"27,095.00",388.10,"10,563,113.70",326,2.8,4.4,0.72,1.14,0.27,480.00,363.90,
308,SSHL,37.83,153.60,153.60,151.20,153.00,153,0,0.00,152.43,"103,516.00",152.10,"15,779,163.70",421,0.9,2.4,0.59,1.59,0.37,313.8,151.00,
309,STC,31.97,"5,460.00","5,535.00","5,460.00","5,535.00","5,535.00",0,0,"5,503.92","1,221.00","5,500.00","6,720,282.50",48,35,75,0.64,1.37,0.56,"5,800.00","4,832.00",
310,SWASTIK,35.82,"2,879.10","3,139.00","2,840.10","3,088.90","3,088.90",0,0,"2,985.54","11,487.00","2,879.00","34,294,877.30",483,209.9,298.9,7.29,10.52,3.35,"3,400.00",391.7,
311,SWBBL,35.14,728.00,742.00,728.00,739.00,739,0,0.00,736.86,"1,874.00",739.00,"1,380,873",32,0,14,0,1.92,0.29,"1,046.50",727.40,
312,SWMF,32.12,680,680,669,676,676,0,0,671.18,"1,560.00",673.50,"1,047,044.90",34,2.5,11,0.37,1.64,0.71,868.1,641.1,
313,SYPNL,27.63,"1,098.60","1,233.10","1,098.60","1,233.10","1,233.10",0,0,"1,198.84","146,092.00","1,121.00","175,140,756.10","3,926",112.1,134.5,10,12.24,2.78,"1,233.10",319.8,
314,TAMOR,45.88,437,460.1,437,460.1,460.1,0,0,451.23,"18,870.00",440.30,"8,514,635.10",259,19.8,23.1,4.5,5.29,1.93,637,437.00,
315,TPC,28.71,362,377,360,374,374,0,0,370.45,"95,169.00",362.50,"35,255,765.00",360,11.5,17,3.17,4.72,0.95,671.6,270.10,
316,TRH,40.93,710,717.8,702.4,715,715,0,0,714.84,"3,571.00",710.00,"2,552,699",30,5,15.4,0.7,2.19,0.02,"1,259.00",681.10,
317,TSHL,43.18,715,716,698,713.9,713.9,0,0,704.03,"8,241.00",720.00,"5,801,943.50",89,-6.1,18,-0.85,2.58,1.38,"1,046.60",616.8,
318,TTL,52.87,808.5,900,808.5,895,895,0,0,857.79,"135,938.00",825.00,"116,605,626.70","2,310",70,91.5,8.48,11.32,4.16,"1,262.80",366.1,
319,TVCL,38.8,383.7,394,381,394,394,0,0,387.85,"11,708.00",388.00,"4,540,974.00",96,6,13,1.55,3.41,1.56,697,381,
320,UAIL,39.51,448.00,453.00,446.10,453.00,453,0,0.00,448.27,"17,505.00",447.00,"7,846,964.10",163,6,6.9,1.34,1.55,1.04,767.00,422.10,
321,UHEWA,28.13,548,548,532.1,539.8,539.8,0,0,535.25,"29,017.00",542.00,"15,531,288.60",170,-2.2,15.9,-0.41,2.99,0.84,993.4,508.5,
322,ULBSL,39.71,"3,440.00","3,498.90","3,420.00","3,490.00","3,490.00",0,0,"3,435.61",645,"3,480.00","2,215,971.00",20,10,78.9,0.29,2.31,1.56,"6,600.00","2,931.00",
323,ULHC,40.82,463.9,467,456.3,466,466,0,0,462.51,"13,679.00",460.00,"6,326,727.10",132,6,10.7,1.3,2.34,0.75,693,411.7,
324,UMHL,43.5,560,569.59,560,565,565,0,0,561.98,"96,953.00",563.00,"54,485,240.60",279,2,9.59,0.36,1.71,0.54,626,321,
325,UMRH,48.70,569.90,587.80,561.20,585.00,585,0,0.00,575.8,"66,978.00",559.00,"38,566,011.10",342,26,26.6,4.65,4.74,1.57,790.00,526.00,
