Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032405034391,SHIVM,17,6,10.0,709.0,7090.0
2026032405034390,RNLI,34,54,30.0,500.0,15000.0
2026032405034389,RNLI,58,54,100.0,500.0,50000.0
2026032405034388,RNLI,7,54,754.0,500.0,377000.0
2026032405034387,RNLI,38,54,110.0,500.1,55011.0
2026032405034386,TVCL,28,101,1000.0,608.0,608000.0
2026032405034385,TPC,25,4,100.0,417.0,41700.0
2026032405034384,MKHC,58,34,100.0,356.0,35600.0
2026032405034383,SONA,38,42,500.0,497.9,248950.0
2026032405034382,MCHL,17,35,70.0,424.5,29715.0
2026032405034381,MCHL,17,36,200.0,424.5,84900.0
2026032405034380,NRM,28,52,50.0,463.5,23175.0
2026032405034379,NRM,28,34,10.0,463.5,4635.0
2026032405034378,NIFRA,26,45,10.0,293.8,2938.0
2026032405034377,SAHAS,43,58,1.0,624.0,624.0
2026032405034376,MBJC,25,44,10.0,325.7,3257.0
2026032405034375,MBJC,25,7,10.0,325.6,3256.0
2026032405034374,MBJC,25,29,10.0,325.6,3256.0
2026032405034373,NRN,58,39,60.0,1623.9,97434.0
2026032405034372,HRL,34,45,50.0,899.9,44995.0
2026032405034371,SGHC,58,33,456.0,445.0,202920.0
2026032405034370,SGHC,58,36,127.0,445.0,56515.0
2026032405034369,SGHC,58,41,60.0,444.0,26640.0
2026032405034368,SGHC,58,58,10.0,444.0,4440.0
2026032405034367,SGHC,58,52,1000.0,444.0,444000.0
2026032405034366,SGHC,58,33,347.0,444.0,154068.0
2026032405034365,TSHL,13,64,474.0,758.0,359292.0
2026032405034364,TSHL,13,49,26.0,749.1,19476.600000000002
2026032405034363,BGWT,58,58,1.0,779.0,779.0
2026032405034362,SIKLES,38,34,100.0,641.0,64100.0
2026032405034361,SHIVM,4,81,274.0,708.1,194019.4
2026032405034360,SHIVM,74,81,500.0,708.1,354050.0
2026032405034359,SHIVM,45,81,200.0,708.2,141640.0
2026032405034358,SHIVM,44,81,246.0,708.3,174241.8
2026032405034357,NTC,45,22,251.0,910.0,228410.0
2026032405034356,HIDCL,42,6,15.0,295.0,4425.0
2026032405034355,HIDCL,52,6,27.0,295.0,7965.0
2026032405034354,SAHAS,57,51,10.0,632.9,6329.0
2026032405034353,NRN,47,6,150.0,1623.0,243450.0
2026032405034352,HHL,42,10,80.0,382.0,30560.0
2026032405034351,HHL,70,10,20.0,382.2,7644.0
2026032405034350,RHGCL,16,48,200.0,330.0,66000.0
2026032405034349,GVL,49,52,500.0,525.0,262500.0
2026032405034348,NRN,47,14,10.0,1623.0,16230.0
2026032405034347,SHIVM,56,6,500.0,709.0,354500.0
2026032405034346,SGHC,47,33,300.0,444.0,133200.0
2026032405034345,PHCL,43,38,200.0,353.5,70700.0
2026032405034344,SHIVM,44,39,301.0,708.3,213198.3
2026032405034343,SHIVM,58,39,40.0,708.4,28336.0
2026032405034342,SHIVM,21,39,100.0,708.5,70850.0
2026032405034341,SHIVM,41,39,58.0,708.5,41093.0
2026032405034340,SHIVM,56,39,64.0,708.5,45344.0
2026032405034339,SHIVM,57,39,50.0,708.8,35440.0
2026032405034338,PPL,39,13,15.0,400.0,6000.0
2026032405034337,TSHL,41,49,40.0,749.1,29964.0
2026032405034336,TAMOR,58,58,20.0,458.1,9162.0
2026032405034335,TAMOR,58,58,10.0,458.1,4581.0
2026032405034334,TAMOR,18,58,100.0,458.1,45810.0
2026032405034333,TAMOR,61,58,100.0,458.2,45820.0
2026032405034332,TAMOR,72,58,400.0,458.3,183320.0
2026032405034331,SAHAS,49,55,88.0,628.0,55264.0
2026032405034330,SAHAS,48,55,162.0,630.0,102060.0
2026032405034329,SAHAS,48,55,250.0,632.0,158000.0
2026032405034328,RNLI,11,42,500.0,501.0,250500.0
2026032405034327,HRL,52,58,40.0,899.0,35960.0
2026032405034326,RFPL,41,34,200.0,435.0,87000.0
2026032405034325,DOLTI,49,58,10.0,516.0,5160.0
2026032405034324,DOLTI,49,56,10.0,516.0,5160.0
2026032405034323,DOLTI,49,34,65.0,516.0,33540.0
2026032405034322,DOLTI,49,36,10.0,515.0,5150.0
2026032405034321,DORDI,56,26,597.0,315.9,188592.3
2026032405034320,TPC,25,50,1000.0,417.0,417000.0
2026032405034319,PHCL,71,18,380.0,353.0,134140.0
2026032405034318,PHCL,42,18,600.0,353.1,211860.0
2026032405034317,PHCL,11,18,20.0,353.1,7062.0
2026032405034316,HRL,34,58,10.0,899.0,8990.0
2026032405034315,NIFRA,19,45,118.0,293.8,34668.4
2026032405034314,SMH,80,99,177.0,642.0,113634.0
