Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2.03E+15,RAWA,6,43,10,747,"7,470.00"
2.03E+15,RAWA,6,58,10,740,"7,400.00"
2.03E+15,RAWA,6,17,40,740,"29,600.00"
2.03E+15,NRIC,34,55,18,1273,"22,914.00"
2.03E+15,NRIC,34,71,50,1272.9,"63,645.00"
2.03E+15,NRIC,34,32,41,1272,"52,152.00"
2.03E+15,NRIC,34,80,31,1271,"39,401.00"
2.03E+15,TPC,47,57,180,417.8,"75,204.00"
2.03E+15,TPC,47,19,50,417,"20,850.00"
2.03E+15,TPC,47,16,300,417,"125,100.00"
2.03E+15,TPC,47,70,470,417,"195,990.00"
2.03E+15,BHDC,34,58,10,495,"4,950.00"
2.03E+15,ULHC,41,62,10,551.8,"5,518.00"
2.03E+15,SIKLES,48,38,687,653.9,"449,229.30"
2.03E+15,SIKLES,48,42,243,653,"158,679.00"
2.03E+15,SIKLES,48,4,20,652,"13,040.00"
2.03E+15,SIKLES,48,58,50,650,"32,500.00"
2.03E+15,MHL,34,55,10,535.9,"5,359.00"
2.03E+15,SMH,62,51,28,647,"18,116.00"
2.03E+15,IHL,80,42,10,540,"5,400.00"
2.03E+15,SMH,38,51,18,645,"11,610.00"
2.03E+15,SMHL,19,53,50,513.8,"25,690.00"
2.03E+15,SMHL,19,58,10,513.3,"5,133.00"
2.03E+15,NRN,38,75,10,1555,"15,550.00"
2.03E+15,RFPL,91,59,50,410,"20,500.00"
2.03E+15,USHL,62,85,20,759.8,"15,196.00"
2.03E+15,PPL,52,60,270,404,"109,080.00"
2.03E+15,PPL,45,60,80,404,"32,320.00"
2.03E+15,PPL,41,60,500,404,"202,000.00"
2.03E+15,PPL,58,60,100,404,"40,400.00"
2.03E+15,PPL,58,60,500,404,"202,000.00"
2.03E+15,PPL,56,60,1000,404.1,"404,100.00"
2.03E+15,BHDC,50,58,10,495,"4,950.00"
2.03E+15,SHIVM,14,32,500,655,"327,500.00"
2.03E+15,TVCL,35,21,10,633,"6,330.00"
2.03E+15,USHL,34,85,20,759.8,"15,196.00"
2.03E+15,USHL,34,34,51,758,"38,658.00"
2.03E+15,HHL,65,25,10,356.5,"3,565.00"
2.03E+15,RHGCL,22,16,125,294,"36,750.00"
2.03E+15,RHGCL,52,16,1500,294,"441,000.00"
2.03E+15,RHGCL,77,16,21,294,"6,174.00"
2.03E+15,RHGCL,56,16,173,294,"50,862.00"
2.03E+15,UHEWA,47,39,100,581.6,"58,160.00"
2.03E+15,UHEWA,47,39,900,581.7,"523,530.00"
2.03E+15,CKHL,49,43,10,718,"7,180.00"
2.03E+15,NICSF,39,57,400,9.5,"3,800.00"
2.03E+15,NICSF,39,58,500,9.5,"4,750.00"
2.03E+15,NRN,71,75,10,1555,"15,550.00"
2.03E+15,MAKAR,52,52,10,561.9,"5,619.00"
2.03E+15,RNLI,6,44,311,498,"154,878.00"
2.03E+15,RNLI,6,17,12,498,"5,976.00"
2.03E+15,RNLI,6,43,300,497.9,"149,370.00"
2.03E+15,RNLI,6,57,50,497.9,"24,895.00"
2.03E+15,RNLI,6,58,10,497,"4,970.00"
2.03E+15,RNLI,6,58,12,497,"5,964.00"
2.03E+15,RNLI,6,36,12,497,"5,964.00"
2.03E+15,RNLI,6,94,500,497,"248,500.00"
2.03E+15,RNLI,6,38,12,497,"5,964.00"
2.03E+15,RNLI,6,75,12,497,"5,964.00"
2.03E+15,RNLI,6,91,533,496,"264,368.00"
2.03E+15,RNLI,6,5,200,495,"99,000.00"
2.03E+15,RNLI,6,56,430,495,"212,850.00"
2.03E+15,RNLI,6,58,12,495,"5,940.00"
