Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026091805015039,ULHC,48,4,10.0,328.0,3280.0
2026091805015038,ULHC,48,57,10.0,326.0,3260.0
2026091805015037,ULHC,48,51,10.0,325.5,3255.0
2026091805015036,MANDU,49,59,10.0,715.2,7152.0
2026091805015035,MKHC,57,33,76.0,263.5,20026.0
2026091805015034,SPC,63,38,460.0,408.1,187726.0
2026091805015033,MAKAR,58,69,10.0,419.0,4190.0
2026091805015032,DORDI,62,8,69.0,262.9,18140.1
2026091805015031,DORDI,62,41,200.0,262.8,52560.0
2026091805015030,DORDI,62,56,231.0,262.8,60706.8
2026091805015029,MHL,71,45,10.0,470.0,4700.0
2026091805015028,MHL,71,63,40.0,469.0,18760.0
2026091805015027,MHL,71,42,90.0,466.2,41958.0
2026091805015026,BHL,56,19,80.0,217.3,17384.0
2026091805015025,NRN,29,57,10.0,1450.0,14500.0
2026091805015024,SHIVM,84,10,10.0,688.0,6880.0
2026091805015023,SMJC,43,69,10.0,425.0,4250.0
2026091805015022,NRN,58,39,250.0,1446.2,361550.0
2026091805015021,PHCL,6,26,113.0,322.5,36442.5
2026091805015020,PHCL,45,26,800.0,322.6,258080.00000000003
2026091805015019,PHCL,81,26,57.0,322.6,18388.2
2026091805015018,PHCL,38,26,30.0,322.7,9681.0
2026091805015017,SHIVM,34,10,10.0,688.0,6880.0
2026091805015016,EHPL,29,53,20.0,335.0,6700.0
2026091805015015,MEHL,58,34,10.0,262.9,2629.0
2026091805015014,USHL,60,32,11.0,514.9,5663.9
2026091805015013,SONA,46,58,10.0,405.0,4050.0
2026091805015012,VLUCL,34,41,40.0,388.1,15524.0
2026091805015011,SIKLES,21,57,10.0,587.0,5870.0
2026091805015010,BNHC,45,74,95.0,281.4,26732.999999999996
2026091805015009,BNHC,45,1,143.0,281.4,40240.2
2026091805015008,BNHC,45,52,100.0,281.3,28130.0
2026091805015007,BNHC,45,42,162.0,280.0,45360.0
2026091805015006,TAMOR,44,100,1000.0,547.9,547900.0
2026091805015005,STC,29,22,10.0,5650.0,56500.0
2026091805015004,TAMOR,84,41,30.0,548.0,16440.0
2026091805015003,RNLI,60,6,20.0,443.9,8878.0
2026091805015002,RNLI,60,58,75.0,440.0,33000.0
2026091805015001,HIDCL,57,50,100.0,258.9,25889.999999999996
2026091805015000,HIDCL,57,14,100.0,257.0,25700.0
2026091805014999,DOLTI,45,86,14.0,309.0,4326.0
2026091805014998,HHL,4,48,10.0,340.9,3409.0
2026091805014997,NRIC,14,38,10.0,832.9,8329.0
2026091805014996,ENL,60,56,200.0,557.0,111400.0
2026091805014995,HHL,35,48,43.0,340.9,14658.699999999999
2026091805014994,CHDC,96,49,10.0,2387.0,23870.0
2026091805014993,MEHL,47,34,10.0,262.9,2629.0
2026091805014992,MEHL,47,45,600.0,261.0,156600.0
2026091805014991,MEHL,47,58,100.0,260.0,26000.0
2026091805014990,CHDC,11,49,10.0,2387.0,23870.0
2026091805014989,SPHL,58,33,10.0,513.9,5139.0
2026091805014988,BNHC,29,34,140.0,279.6,39144.0
2026091805014987,BNHC,13,34,60.0,279.6,16776.0
2026091805013716,STC,22,34,12.0,5535.0,66420.0
2026091805010492,BHDC,58,35,52.0,432.3,22479.600000000002
2026091805004136,BHL,45,60,70.0,218.0,15260.0
2026091804015469,PPCL,74,44,2400.0,347.5,834000.0
2026091804015468,PPCL,74,29,600.0,347.5,208500.0
2026091804015467,API,35,36,500.0,336.0,168000.0
2026091804015466,HPPL,26,34,10.0,387.0,3870.0
2026091804015465,DLBS,35,4,10.0,1184.0,11840.0
2026091804015464,DLBS,35,45,50.0,1133.0,56650.0
2026091804015463,KKHC,33,77,33.0,281.0,9273.0
2026091804015462,KKHC,33,49,3000.0,281.0,843000.0
2026091804015461,RHPL,74,13,10.0,176.0,1760.0
2026091804015460,LEC,6,91,10.0,259.9,2599.0
2026091804015459,RIDI,5,57,485.0,347.0,168295.0
2026091804015458,RIDI,5,56,23.0,346.9,7978.7
2026091804015457,RIDI,5,96,800.0,346.5,277200.0
2026091804015456,RIDI,5,34,27.0,346.0,9342.0
2026091804015455,RIDI,5,39,165.0,345.0,56925.0
2026091804015454,RIDI,64,39,50.0,345.0,17250.0
2026091804015453,UAIL,45,51,10.0,382.0,3820.0
2026091804015452,API,28,36,500.0,336.0,168000.0
2026091804015451,MABEL,1,13,100.0,603.8,60379.99999999999
2026091804015450,PURE,66,35,10.0,808.0,8080.0
2026091804015449,PURE,66,62,90.0,807.0,72630.0
2026091804015448,BUNGAL,17,59,20.0,529.9,10598.0
2026091804015447,MABEL,86,74,50.0,603.7,30185.000000000004
2026091804015446,MABEL,14,74,10.0,603.7,6037.0
2026091804015445,MABEL,14,56,40.0,603.6,24144.0
2026091804015444,SPDL,63,44,30.0,362.0,10860.0
2026091804015443,HDHPC,52,56,40.0,220.5,8820.0
2026091804015442,HDHPC,14,56,50.0,220.5,11025.0
2026091804015441,HDHPC,36,56,10.0,220.9,2209.0
2026091804015440,BPCL,38,45,10.0,698.0,6980.0
