Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032904044955,SHLB,36,33,40.0,1661.0,66440.0
2026032904044954,SHLB,42,33,100.0,1662.0,166200.0
2026032904044953,SHLB,50,33,100.0,1663.0,166300.0
2026032904044952,SHLB,10,33,10.0,1665.1,16651.0
2026032904044951,RURU,62,57,50.0,697.9,34895.0
2026032904044950,AKJCL,66,94,10.0,406.6,4066.0
2026032904044949,NICL,69,38,180.0,530.2,95436.00000000001
2026032904044948,NICL,35,38,20.0,531.0,10620.0
2026032904044947,AKJCL,96,94,100.0,406.6,40660.0
2026032904044946,CYCL,48,33,60.0,1750.0,105000.0
2026032904044945,GLH,41,64,130.0,292.5,38025.0
2026032904044944,NHPC,71,4,10.0,310.0,3100.0
2026032904044943,JOSHI,34,58,160.0,305.3,48848.0
2026032904044942,JOSHI,34,53,40.0,305.1,12204.0
2026032904044941,SHEL,14,42,427.0,334.5,142831.5
2026032904044940,SJCL,58,41,283.0,342.9,97040.7
2026032904044939,SJCL,58,26,100.0,342.7,34270.0
2026032904044938,SJCL,58,45,117.0,342.0,40014.0
2026032904044937,DLBS,7,16,10.0,1385.0,13850.0
2026032904044936,AKPL,69,38,426.0,291.9,124349.4
2026032904044935,AKPL,59,38,74.0,291.9,21600.6
2026032904044934,SWASTIK,47,52,10.0,2781.0,27810.0
2026032904044933,SWASTIK,16,52,10.0,2786.0,27860.0
2026032904044932,UNHPL,62,45,10.0,538.0,5380.0
2026032904044931,HDHPC,49,26,907.0,239.2,216954.4
2026032904044930,HDHPC,41,26,300.0,239.2,71760.0
2026032904044929,HDHPC,47,26,2000.0,239.2,478400.0
2026032904044928,HDHPC,14,26,50.0,239.2,11960.0
2026032904044927,HDHPC,19,26,60.0,239.2,14352.0
2026032904044926,HDHPC,38,26,500.0,239.2,119600.0
2026032904044925,HDHPC,25,26,304.0,239.2,72716.8
2026032904044924,HDHPC,38,26,1000.0,239.4,239400.0
2026032904044923,HDHPC,46,26,22.0,239.4,5266.8
2026032904044922,HDHPC,4,26,4857.0,239.4,1162765.8
2026032904044921,HDHPC,4,44,143.0,239.4,34234.200000000004
2026032904044920,HDHPC,49,44,10.0,239.5,2395.0
2026032904044919,HDHPC,34,44,100.0,239.5,23950.0
2026032904044918,HDHPC,33,44,20.0,239.5,4790.0
2026032904044917,HDHPC,17,44,100.0,239.6,23960.0
2026032904044916,HDHPC,46,44,45.0,239.6,10782.0
2026032904044915,UNHPL,63,85,896.0,533.2,477747.20000000007
2026032904044914,UNHPL,39,85,20.0,534.0,10680.0
2026032904044913,UNHPL,21,85,20.0,534.0,10680.0
2026032904044912,UNHPL,1,85,100.0,535.0,53500.0
2026032904044911,UNHPL,55,85,2126.0,535.0,1137410.0
2026032904044910,AKJCL,29,94,381.0,406.6,154914.6
2026032904044909,AKJCL,29,58,619.0,406.0,251314.0
2026032904044908,NHPC,84,4,20.0,310.0,6200.0
2026032904044907,UPPER,41,32,400.0,223.0,89200.0
2026032904044906,GHL,17,56,400.0,261.2,104480.0
2026032904044905,UNHPL,55,57,100.0,535.0,53500.0
2026032904044904,API,58,83,10.0,356.0,3560.0
2026032904044903,CHL,33,11,59.0,307.0,18113.0
2026032904044902,CHL,22,11,100.0,307.0,30700.0
2026032904044901,CHL,45,11,76.0,307.3,23354.8
2026032904044900,SHEL,32,58,25.0,334.1,8352.5
2026032904044899,SHEL,6,58,80.0,334.1,26728.0
2026032904044898,DHPL,49,57,10.0,326.5,3265.0
2026032904044897,NHPC,18,4,135.0,310.0,41850.0
2026032904044896,NHPC,18,80,365.0,310.0,113150.0
2026032904044895,KKHC,49,38,200.0,282.0,56400.0
2026032904044894,NGPL,69,34,2963.0,467.0,1383721.0
2026032904044893,NGPL,14,34,300.0,467.0,140100.0
2026032904044892,NGPL,36,34,50.0,467.5,23375.0
2026032904044891,NGPL,34,34,500.0,467.7,233850.0
2026032904044890,NGPL,20,34,100.0,467.8,46780.0
2026032904044889,NGPL,26,34,500.0,467.9,233950.0
2026032904044888,NGPL,45,34,500.0,468.0,234000.0
2026032904044887,NGPL,33,34,1000.0,468.0,468000.0
2026032904044886,NGPL,3,34,100.0,468.0,46800.0
2026032904044885,NGPL,59,34,100.0,468.0,46800.0
