Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026011203002655,SJLIC,-,-,20,443.1,8862.0
2026011203002654,SJLIC,-,-,10,441.1,4411.0
2026011203002653,HLI,-,-,1,365.0,365.0
2026011203002652,SFCL,-,-,26,377.0,9802.0
2026011203002651,MFIL,-,-,100,762.5,76250.0
2026011203002650,GFCL,-,-,20,634.1,12682.0
2026011203002649,GFCL,-,-,50,635.0,31750.0
2026011203002648,GFCL,-,-,30,635.0,19050.0
2026011203002647,MDB,-,-,130,606.6,78858.0
2026011203002646,MPFL,-,-,10,640.0,6400.0
2026011203002645,MPFL,-,-,228,640.0,145920.0
2026011203002644,CORBL,-,-,50,1540.0,77000.0
2026011203002643,ALICL,-,-,3000,473.0,1419000.0
2026011203002642,KMCDB,-,-,48,970.0,46560.0
2026011203002630,CBBL,-,-,10,921.0,9210.0
2026011203002629,MPFL,-,-,75,640.0,48000.0
2026011203002628,MPFL,-,-,391,640.4,250396.4
2026011203002627,MPFL,-,-,40,640.4,25616.0
2026011203002626,MPFL,-,-,174,640.5,111447.0
2026011203002625,JBBL,-,-,4360,333.2,1452752.0
2026011203002624,JBBL,-,-,190,333.5,63365.0
2026011203002623,JBBL,-,-,100,334.0,33400.0
2026011203002622,JBBL,-,-,10,334.0,3340.0
2026011203002621,JBBL,-,-,10,334.0,3340.0
2026011203002620,JBBL,-,-,300,334.0,100200.0
2026011203002619,JBBL,-,-,10,334.0,3340.0
2026011203002618,JBBL,-,-,10,334.0,3340.0
2026011203002617,JBBL,-,-,10,334.0,3340.0
2026011203002616,CORBL,-,-,10,1543.0,15430.0
2026011203002615,CORBL,-,-,40,1543.0,61720.0
2026011203002614,NICLBSL,-,-,200,557.2,111440.0
2026011203002613,NICLBSL,-,-,90,557.2,50148.0
2026011203002612,NICLBSL,-,-,40,557.2,22288.0
2026011203002611,HLI,-,-,1,365.0,365.0
2026011203002610,SMPDA,-,-,16,872.7,13963.2
2026011203002609,SJLIC,-,-,480,443.1,212688.0
2026011203002608,SWMF,-,-,10,665.0,6650.0
2026011203002607,MDB,-,-,50,606.4,30320.0
2026011203002606,FMDBL,-,-,15,797.1,11956.5
2026011203002605,FMDBL,-,-,25,797.1,19927.5
2026011203002604,FMDBL,-,-,50,798.0,39900.0
2026011203002603,SJLIC,-,-,10,443.1,4431.0
2026011203002602,PROFL,-,-,70,455.1,31857.0
2026011203002601,PROFL,-,-,30,455.1,13653.0
2026011203002600,PROFL,-,-,200,456.0,91200.0
2026011203002599,JBBL,-,-,100,335.0,33500.0
2026011203002598,MFIL,-,-,406,763.0,309778.0
2026011203002597,CORBL,-,-,64,1550.0,99200.0
2026011203002596,ICFC,-,-,100,648.2,64820.0
2026011203002595,ICFC,-,-,10,648.3,6483.0
2026011203002594,GBBL,-,-,100,392.3,39230.0
2026011203002593,GBBL,-,-,100,392.3,39230.0
2026011203002592,LBBL,-,-,200,488.0,97600.0
2026011203002591,MPFL,-,-,260,640.5,166530.0
2026011203002590,SJLIC,-,-,10,443.1,4431.0
2026011203002589,ILBS,-,-,4,994.0,3976.0
2026011203002588,CORBL,-,-,180,1556.0,280080.0
2026011203002587,CORBL,-,-,100,1557.0,155700.0
2026011203002586,MFIL,-,-,9700,761.7,7388490.0
2026011203002585,MFIL,-,-,500,761.8,380900.0
2026011203002584,MFIL,-,-,300,762.1,228630.0
2026011203002583,MFIL,-,-,500,762.2,381100.0
2026011203002546,MFIL,-,-,400,763.0,305200.0
2026011203002545,NUBL,-,-,50,710.2,35510.0
2026011203002544,PMLI,-,-,13,483.1,6280.3
2026011203002543,CORBL,-,-,20,1591.0,31820.0
2026011203002542,NLIC,-,-,16,772.8,12364.8
2026011203002540,SWMF,-,-,50,665.0,33250.0
2026011201012889,SANIMA,-,-,200,342.4,68480.0
2026011201012870,JHAPA,-,-,55,1440.0,79200.0
2026011201012843,SYPNL,-,-,10,1355.0,13550.0
2026011201012842,BANDIPUR,-,-,10,845.0,8450.0
2026011201012841,DHEL,-,-,10,659.2,6592.0
2026011201012840,SYPNL,-,-,10,1355.0,13550.0
2026011201012839,SWASTIK,-,-,10,2900.0,29000.0
2026011201012838,SWASTIK,-,-,10,2900.0,29000.0
2026011201012837,SWASTIK,-,-,10,2900.0,29000.0
2026011201012836,BANDIPUR,-,-,420,845.0,354900.0
2026011201012835,BANDIPUR,-,-,100,845.0,84500.0
2026011201012834,BANDIPUR,-,-,125,845.0,105625.0
2026011201012833,BANDIPUR,-,-,80,845.3,67624.0
2026011201012832,BANDIPUR,-,-,25,846.0,21150.0
2026011201012831,BANDIPUR,-,-,30,846.0,25380.0
2026011201012830,BANDIPUR,-,-,220,846.0,186120.0
2026011201012829,NABIL,-,-,59,489.0,28851.0
2026011201012828,BANDIPUR,-,-,200,846.0,169200.0
2026011201012827,SNLI,-,-,78,474.0,36972.0
2026011201012826,HBL,-,-,10,188.2,1882.0
2026011201012825,SAIL,-,-,10,1075.0,10750.0
2026011201012824,NIMB,-,-,50,192.0,9600.0
2026011201012823,SAIL,-,-,10,1067.7,10677.0
2026011201012822,SAIL,-,-,10,1067.7,10677.0
2026011201012821,SYPNL,-,-,10,1355.0,13550.0
2026011201012820,BUNGAL,-,-,10,647.1,6471.0
2026011201012819,BUNGAL,-,-,10,647.1,6471.0
2026011201012818,KBL,-,-,10,179.0,1790.0
2026011201012817,SAGAR,-,-,10,2010.0,20100.0
