Symbol,Company,Sector
MDB,Miteri Development Bank Limited,Development Bank
GBBL,Garima Bikas Bank Limited,Development Bank
JBBL,Jyoti Bikash Bank Limited,Development Bank
KRBL,Karnali Development Bank Limited,Development Bank
NABBC,Narayani Development Bank Limited,Development Bank
EDBL,Excel Development Bank Limited,Development Bank
SADBL,Shangrila Development Bank Limited,Development Bank
MNBBL,Muktinath Bikas Bank Limited,Development Bank
CORBL,Corporate Development Bank Limited,Development Bank
SINDU,Sindhu Bikas Bank Limited,Development Bank
SHINE,Shine Resunga Development Bank Limited,Development Bank
GRDBL,Green Development Bank Limited,Development Bank
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank
LBBL,Lumbini Bikas Bank Limited,Development Bank
SAPDBL,Saptakoshi Development Bank Limited,Development Bank
NMB,NMB Bank Limited,Commercial Bank
SBL,Siddhartha Bank Limited,Commercial Bank
KBL,Kumari Bank Limited,Commercial Bank
MBL,Machhapuchchhre Bank Limited,Commercial Bank
EBL,Everest Bank Limited,Commercial Bank
SBI,Nepal SBI Bank Limited,Commercial Bank
HBL,Himalayan Bank Limited,Commercial Bank
SCB,Standard Chartered Bank Nepal Limited,Commercial Bank
NABIL,Nabil Bank Limited,Commercial Bank
CZBIL,Citizens Bank International Limited,Commercial Bank
PCBL,Prime Commercial Bank Limited,Commercial Bank
ADBL,Agricultural Development Bank Limited,Commercial Bank
SANIMA,Sanima Bank Limited,Commercial Bank
NBL,Nepal Bank Limited,Commercial Bank
GBIME,Global IME Bank Limited,Commercial Bank
NICA,NIC Asia Bank Limited,Commercial Bank
PRVU,Prabhu Bank Limited,Commercial Bank
NIMB,Nepal Investment Mega Bank Limited,Commercial Bank
LSL,Laxmi Sunrise Bank Limited,Commercial Bank
NFS,Nepal Finance Limited,Finance Company
BFC,Best Finance Company Limited,Finance Company
GFCL,Goodwill Finance Company Limited,Finance Company
PFL,Pokhara Finance Limited,Finance Company
SIFC,Shree Investment Finance Company Limited,Finance Company
CFCL,Central Finance Limited,Finance Company
JFL,Janaki Finance Company Limited,Finance Company
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Finance Company
CMB,Capital Merchant Banking & Finance Limited,Finance Company
GMFIL,Guheswori Merchant Banking & Finance Limited,Finance Company
ICFC,ICFC Finance Limited,Finance Company
MPFL,Multipurpose Finance Company Limited,Finance Company
PROFL,Progressive Finance Limited,Finance Company
MFIL,Manjushree Finance Limited,Finance Company
RLFL,Reliance Finance Limited,Finance Company
GUFL,Gurkhas Finance Limited,Finance Company
SHL,Soaltee Hotel Limited,Hotel and Tourism
TRH,Taragaon Regency Hotel Limited,Hotel and Tourism
OHL,Oriental Hotel Limited,Hotel and Tourism
CGH,Chandragiri Hills Limited,Hotel and Tourism
KDL,Kalinchowk Darshan Limited,Hotel and Tourism
CITY,City Hotel Limited,Hotel and Tourism
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel and Tourism
NHPC,National Hydro Power Company Limited,Hydropower
BPCL,Butwal Power Company Limited,Hydropower
CHCL,Chilime Hydro power Company Limited,Hydropower
AHPC,Arun Valley Hydropower Development Company Limited,Hydropower
SJCL,Sanjen Jalavidhyut Company Limited,Hydropower
SHPC,Sanima Mai Hydropower Limited,Hydropower
RHPL,Rasuwagadhi Hydropower Company Limited,Hydropower
BARUN,Barun Hydropower Company Limited,Hydropower
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydropower
AKPL,Arun Kabeli Power Limited,Hydropower
API,Api Power Company Limited,Hydropower
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydropower
DORDI,Dordi Khola Hydropower Company Limited,Hydropower
TVCL,Trishuli Jal Vidhyut Company Limited,Hydropower
MHL,Mandakini Hydropower Limited,Hydropower
DHPL,Dibyashwari Hydropower Company Limited,Hydropower
NYADI,Nyadi Hydropower Limited,Hydropower
NGPL,Ngadi Group Power Limited,Hydropower
RADHI,Radhi Bidyut Company Limited,Hydropower
KKHC,Khani Khola Hydropower Company Limited,Hydropower
GHL,Ghalemdi Hydro Limited,Hydropower
HURJA,Himalaya Urja Bikas Company Limited,Hydropower
UMHL,United Modi Hydropower Limited,Hydropower
AKJCL,Ankhukhola Hydropower Company Limited,Hydropower
UPCL,Universal Power Company Limited,Hydropower
SPL,Shuvam Power Limited,Hydropower
NHDL,Nepal Hydro Developer Limited,Hydropower
SPDL,Synergy Power Development Limited,Hydropower
HPPL,Himalayan Power Partner Limited,Hydropower
CHL,Chhyangdi Hydropower Company Limited,Hydropower
SAHAS,Sahas Urja Limited,Hydropower
JOSHI,Joshi Hydropower Development Company Limited,Hydropower
BHPL,Barahi Hydropower Public Limited,Hydropower
MHNL,Mountain Hydro Nepal Limited,Hydropower
PMHPL,Panchakanya Mai Hydropower Limited,Hydropower
UNHPL,Union Hydropower Limited,Hydropower
KPCL,Kalika Power Company Limited,Hydropower
PPCL,Panchthar Power Company Limited,Hydropower
RHGCL,Rapti Hydro & General Construction Limited,Hydropower
HDHPC,Himal Dolakha Hydropower Company Limited,Hydropower
MKHC,Maya Khola Hydropower Company Limited,Hydropower
SSHL,Shiva Shree Hydropower Limited,Hydropower
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydropower
USHEC,Upper Solu Hydro Electric Company Limited,Hydropower
EHPL,Eastern Hydropower Limited,Hydropower
USHL,Upper Syange Hydropower Limited,Hydropower
GLH,Greenlife Hydropower Limited,Hydropower
